NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ms),Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Kernel Name
None,None,4099282,4099282,0,307,5.4555,0.0178,0.0178,0.0174,0.0183,0.0002,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::BinaryOpListAlphaFunctor<float, (int)3, (int)2, (int)2>, std::plus<float>, float>(T1, T2, T3...)"
None,None,4099282,4099282,0,613,4.5771,0.0075,0.0075,0.0073,0.0077,0.0001,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::BinaryOpListAlphaFunctor<float, (int)2, (int)2, (int)0>, std::plus<float>, float>(T1, T2, T3...)"
None,None,4099282,4099282,0,306,3.5982,0.0118,0.0117,0.0114,0.0124,0.0002,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
None,None,4099282,4099282,0,462,2.6798,0.0058,0.0029,0.0025,0.2773,0.0273,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
None,None,4099282,4099282,0,462,1.0123,0.0022,0.0022,0.0020,0.0030,0.0001,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
None,None,4099282,4099282,0,462,0.9429,0.0020,0.0020,0.0019,0.0023,0.0000,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)"
None,None,4099282,4099282,0,924,0.8517,0.0009,0.0009,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099282,0,462,0.6304,0.0014,0.0013,0.0013,0.0015,0.0000,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_fill_internal_kernel<at::native::OpaqueType<(int)4>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, at::native::OpaqueType<(int)4>, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099282,0,769,0.6166,0.0008,0.0008,0.0008,0.0008,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)"
None,None,4099282,4099282,0,462,0.5307,0.0011,0.0012,0.0011,0.0012,0.0000,"void <unnamed>::softmax_warp_forward<float, float, float, (int)6, (bool)1, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
None,None,4099282,4099282,0,462,0.4778,0.0010,0.0010,0.0009,0.0012,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099282,0,462,0.4446,0.0010,0.0010,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4099282,4099282,0,462,0.4445,0.0010,0.0010,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4099282,4099282,0,462,0.4317,0.0009,0.0009,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099282,0,462,0.4311,0.0009,0.0009,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099569,0,1228,2699.4880,2.1983,2.0588,1.0098,8.5631,1.3335,"void cudnn::bn_bw_1C11_kernel_new<float, float, float2, (int)512, (bool)1, (int)1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)"
None,None,4099282,4099569,0,2149,1661.1536,0.7730,0.5301,0.0010,4.6037,0.8031,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_backward_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4099282,4099569,0,1228,1157.7826,0.9428,0.7208,0.4101,3.9043,0.5574,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align4>(T1::Params)
None,None,4099282,4099569,0,307,1022.5086,3.3306,3.2642,2.9707,7.6213,0.4453,"void wgrad_alg0_engine<float, (int)128, (int)6, (int)7, (int)3, (int)3, (int)5, (bool)0, (int)512>(int, int, int, const T1 *, int, T1 *, const T1 *, kernel_grad_params, unsigned long long, int, float, int, int, int, int)"
None,None,4099282,4099569,0,1842,706.3927,0.3835,0.4480,0.0274,1.0888,0.3897,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099569,0,614,675.3550,1.0999,1.0932,0.6008,1.8778,0.4955,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params)
None,None,4099282,4099569,0,1228,669.6576,0.5453,0.3336,0.0026,3.3101,0.4612,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099569,0,3377,614.6513,0.1820,0.0089,0.0041,3.1372,0.3139,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)"
None,None,4099282,4099569,0,1228,588.4253,0.4792,0.5457,0.1804,2.9000,0.2698,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)1, at::native::OpaqueType<(int)4>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099569,0,921,512.0093,0.5559,0.3424,0.3091,3.1284,0.3499,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099569,0,921,320.7180,0.3482,0.2587,0.2557,0.8177,0.1245,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
None,None,4099282,4099569,0,921,292.6881,0.3178,0.2463,0.2412,1.7923,0.1102,"void <unnamed>::indexing_backward_kernel<float, (int)4>(const long *, const long *, const T1 *, T1 *, long, long, long, long, bool)"
None,None,4099282,4099569,0,307,215.1677,0.7009,0.7009,0.6985,0.7027,0.0008,"void cudnn::bn_bw_1C11_kernel_new<float, float, float2, (int)128, (bool)1, (int)1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)"
None,None,4099282,4099569,0,1228,150.1192,0.1222,0.0201,0.0098,1.9210,0.1932,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4099282,4099569,0,307,130.1029,0.4238,0.4229,0.4197,0.6614,0.0136,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_tn_align4>(T1::Params)
None,None,4099282,4099569,0,307,100.5692,0.3276,0.3277,0.3242,0.3308,0.0011,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)
None,None,4099282,4099569,0,614,32.7457,0.0533,0.0529,0.0011,0.1217,0.0522,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099569,0,1842,30.0417,0.0163,0.0162,0.0146,0.0179,0.0010,"void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy800, (bool)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, int, int>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int)"
None,None,4099282,4099569,0,1228,23.9519,0.0195,0.0041,0.0016,0.3818,0.0296,"void cudnn::cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)"
None,None,4099282,4099569,0,921,11.6940,0.0127,0.0127,0.0110,0.0140,0.0005,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::remainder_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099569,0,307,6.4515,0.0210,0.0211,0.0201,0.0219,0.0004,"void at::native::<unnamed>::atomicadaptivemaxgradinput<float>(T1 *, const T1 *, const long *, int, int, int, int)"
None,None,4099282,4099569,0,921,5.1912,0.0056,0.0056,0.0052,0.0063,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099569,0,921,5.1509,0.0056,0.0055,0.0054,0.0064,0.0002,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
None,None,4099282,4099569,0,921,4.7879,0.0052,0.0052,0.0047,0.0064,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::binary_internal::div_trunc_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4099282,4099569,0,921,4.2479,0.0046,0.0046,0.0044,0.0053,0.0001,"void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy800, (bool)0, long, unsigned long long>(T4 *, const T3 *, T4, int, int)"
None,None,4099282,4099569,0,921,3.1776,0.0035,0.0028,0.0027,0.0049,0.0010,ampere_sgemm_32x128_nt
None,None,4099282,4099569,0,614,1.8420,0.0030,0.0030,0.0028,0.0032,0.0001,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
None,None,4099282,4099569,0,614,1.3434,0.0022,0.0022,0.0021,0.0023,0.0000,"void at::native::batch_norm_backward_elemt_channels_last_kernel<(int)4, float, float, float>(const T2 *, const T2 *, const T3 *, const T3 *, const T4 *, const T3 *, const T3 *, T2 *, T3, int, int)"
None,None,4099282,4099569,0,307,1.3309,0.0043,0.0043,0.0043,0.0113,0.0004,ampere_sgemm_128x32_nn
None,None,4099282,4099569,0,614,1.3123,0.0021,0.0021,0.0020,0.0023,0.0001,"void at::native::batch_norm_backward_reduce_channels_last_kernel<(int)4, float, float, float>(const T2 *, const T2 *, const T3 *, const T3 *, T3 *, T3 *, T4 *, T4 *, volatile T3 *, int *, int, int)"
None,None,4099282,4099569,0,921,1.0765,0.0012,0.0011,0.0011,0.0015,0.0001,"void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy800, unsigned long long>(T2 *)"
None,None,4099282,4099569,0,307,0.9251,0.0030,0.0030,0.0030,0.0032,0.0000,ampere_sgemm_32x32_sliced1x4_nn
None,None,4099282,4099569,0,307,0.8939,0.0029,0.0029,0.0029,0.0029,0.0000,ampere_sgemm_32x128_nn
None,None,4099282,4099569,0,614,0.8713,0.0014,0.0014,0.0012,0.0017,0.0002,"void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
None,None,4099282,4099569,0,614,0.5959,0.0010,0.0010,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::masked_scale_kernel<bool, float, float>(at::Tensor &, const at::Tensor &, const at::Tensor &, T3)::[lambda(float, bool) (instance 1)], at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4099282,4099569,0,307,0.4250,0.0014,0.0014,0.0013,0.0014,0.0000,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4099282,4099569,0,307,0.3472,0.0011,0.0011,0.0011,0.0012,0.0000,"void <unnamed>::softmax_warp_backward<float, float, float, (int)6, (bool)1, (bool)0>(T2 *, const T1 *, const T1 *, int, int, int, const bool *)"
None,None,4099282,4099569,0,307,0.2872,0.0009,0.0009,0.0009,0.0012,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
dgcnn_default,PushPop,4099282,4099282,462,5082,2954.8642,0.5814,0.0977,0.0018,8.0835,1.0211,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
dgcnn_default,PushPop,4099282,4099282,307,1228,1650.3831,1.3440,0.8385,0.5510,7.1477,0.9540,"void cudnn::bn_fw_tr_1C11_kernel_NCHW<float, float, int, (int)512, (bool)1, (int)1, (bool)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)"
dgcnn_default,PushPop,4099282,4099282,462,1848,1437.3633,0.7778,0.6652,0.0430,3.8339,0.5588,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
dgcnn_default,PushPop,4099282,4099282,462,3234,1352.2540,0.4181,0.3504,0.0009,3.1413,0.4459,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
dgcnn_default,PushPop,4099282,4099282,462,1848,1309.5853,0.7087,0.5362,0.0375,3.8955,0.4595,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)
dgcnn_default,PushPop,4099282,4099282,462,1848,1245.2380,0.6738,0.7387,0.0083,3.2484,0.4909,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<float, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
dgcnn_default,PushPop,4099282,4099282,462,1848,1087.4412,0.5884,0.5481,0.0015,3.5209,0.5331,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
dgcnn_default,PushPop,4099282,4099282,462,7392,1060.3765,0.1434,0.1641,0.0096,2.6801,0.1070,"void at::native::mbtopk::radixFindKthValues<float, unsigned int, unsigned int, (int)2>(at::cuda::detail::TensorInfo<T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, unsigned int *, T3 *, short *, T1 *)"
dgcnn_default,PushPop,4099282,4099282,462,3696,985.6137,0.2667,0.2874,0.0096,2.6984,0.1274,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
dgcnn_default,PushPop,4099282,4099282,462,1848,441.1062,0.2387,0.2861,0.0101,0.2978,0.0703,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
dgcnn_default,PushPop,4099282,4099282,462,1848,396.6125,0.2146,0.1737,0.0190,2.6849,0.2067,"void at::native::mbtopk::gatherTopK<float, unsigned int, (int)2>(at::cuda::detail::TensorInfo<T1, T2>, T2, T2, bool, unsigned int, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, unsigned int, unsigned int, T1 *, unsigned int *, unsigned int *, unsigned int)"
dgcnn_default,PushPop,4099282,4099282,462,462,321.6707,0.6963,0.8179,0.0780,2.8959,0.2447,"void at::native::<unnamed>::adaptivemaxpool<float>(const T1 *, T1 *, long *, int, int, int, int, long, long, long)"
dgcnn_default,PushPop,4099282,4099282,462,7392,306.2967,0.0414,0.0421,0.0051,2.4766,0.0676,"void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int>(T1 *, short *, unsigned int, int, bool, unsigned int *, unsigned int)"
dgcnn_default,PushPop,4099282,4099282,462,1848,278.1447,0.1505,0.1718,0.0036,0.3826,0.1228,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(long, T3)"
dgcnn_default,PushPop,4099282,4099282,155,775,251.6131,0.3247,0.1854,0.0118,1.6775,0.2322,"void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, (bool)1, (int)1>(T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnTensorStruct, const T2 *, const T2 *, const T2 *, const T2 *, T2)"
