NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ms),Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Kernel Name
None,None,4104014,4104014,0,307,6.3367,0.0206,0.0206,0.0202,0.0213,0.0002,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::BinaryOpListAlphaFunctor<float, (int)3, (int)2, (int)2>, std::plus<float>, float>(T1, T2, T3...)"
None,None,4104014,4104014,0,306,4.6161,0.0151,0.0151,0.0145,0.0159,0.0003,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
None,None,4104014,4104014,0,613,4.5608,0.0074,0.0075,0.0072,0.0077,0.0001,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::BinaryOpListAlphaFunctor<float, (int)2, (int)2, (int)0>, std::plus<float>, float>(T1, T2, T3...)"
None,None,4104014,4104014,0,462,1.3159,0.0028,0.0029,0.0025,0.0032,0.0002,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, (int)4>>(T3)"
None,None,4104014,4104014,0,462,0.9849,0.0021,0.0021,0.0020,0.0024,0.0000,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
None,None,4104014,4104014,0,462,0.8869,0.0019,0.0019,0.0017,0.0021,0.0000,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)"
None,None,4104014,4104014,0,924,0.8558,0.0009,0.0009,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4104014,4104014,0,769,0.6277,0.0008,0.0008,0.0008,0.0011,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)"
None,None,4104014,4104014,0,462,0.6126,0.0013,0.0013,0.0013,0.0015,0.0000,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_fill_internal_kernel<at::native::OpaqueType<(int)4>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, at::native::OpaqueType<(int)4>, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,4104014,4104014,0,462,0.5378,0.0012,0.0012,0.0011,0.0012,0.0000,"void <unnamed>::softmax_warp_forward<float, float, float, (int)6, (bool)1, (bool)0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)"
None,None,4104014,4104014,0,462,0.4763,0.0010,0.0010,0.0009,0.0012,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4104014,4104014,0,462,0.4415,0.0010,0.0010,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4104014,4104014,0,462,0.4413,0.0010,0.0010,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::detail::Array<char *, (int)3>>(int, T2, T3)"
None,None,4104014,4104014,0,462,0.4326,0.0009,0.0009,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
None,None,4104014,4104014,0,462,0.4320,0.0009,0.0009,0.0009,0.0010,0.0000,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)"
